Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,184820132,2371.148566657899,2857227,36.656773438871085,484439,4002209,51.34631184991982,55526,0.7123704213794554,9391,
United States of America,Americas,33429396,10099.43,96394,29.12,36990,600930,181.55,1518,0.46,473,Community transmission
India,South-East Asia,30709557,2225.32,297923,21.59,45892,405028,29.35,5569,0.4,817,Clusters of cases
Brazil,Americas,18855015,8870.47,341710,160.76,62504,526892,247.88,10907,5.13,1780,Community transmission
Russian Federation,Europe,5707452,3910.97,169310,116.02,24818,140775,96.46,4889,3.35,734,Clusters of cases
France,Europe,5681827,8735.98,17318,26.63,4081,110318,169.62,156,0.24,28,Community transmission
Turkey,Europe,5459923,6473.78,34271,40.63,5160,50048,59.34,316,0.37,52,Community transmission
The United Kingdom,Europe,4990920,7351.91,190009,279.89,32048,128301,188.99,161,0.24,33,Community transmission
Argentina,Americas,4574340,10121.17,126639,280.2,21590,96983,214.58,3315,7.33,462,Community transmission
Colombia,Americas,4402582,8652.38,189508,372.44,26721,110019,216.22,4085,8.03,553,Community transmission
Italy,Europe,4265714,7152.26,5805,9.73,1010,127718,214.14,152,0.25,14,Clusters of cases
Spain,Europe,3897996,8235.33,80458,169.98,9834,80969,171.06,39,0.08,0,Community transmission
Germany,Europe,3733519,4489.2,4486,5.39,970,91141,109.59,203,0.24,31,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3304135,3933.82,99578,118.56,17212,85261,101.51,997,1.19,166,Community transmission
Poland,Europe,2880596,7588.88,586,1.54,93,75135,197.94,91,0.24,21,Community transmission
Mexico,Americas,2549862,1977.67,36698,28.46,7989,233958,181.46,1155,0.9,269,Community transmission
Indonesia,South-East Asia,2417788,883.94,214680,78.49,38391,63760,23.31,4765,1.74,852,Community transmission
Ukraine,Europe,2239591,5120.97,3790,8.67,617,52560,120.18,169,0.39,23,Community transmission
South Africa,Africa,2112336,3561.6,138364,233.29,21427,63039,106.29,2392,4.03,411,Community transmission
Peru,Americas,2069051,6275.2,16986,51.52,2374,193588,587.13,1257,3.81,199,Community transmission
Netherlands,Europe,1696480,9745.64,11548,66.34,3688,17760,102.02,15,0.09,2,Community transmission
Czechia,Europe,1668619,15603.41,1072,10.02,279,30331,283.63,4,0.04,0,Community transmission
Chile,Americas,1576336,8246.07,20434,106.89,1871,33328,174.34,783,4.1,40,Community transmission
Philippines,Western Pacific,1450110,1323.32,37568,34.28,4289,25459,23.23,797,0.73,163,Community transmission
Canada,Americas,1418080,3757.28,3344,8.86,441,26381,69.9,108,0.29,13,Community transmission
Iraq,Eastern Mediterranean,1397100,3473.43,51196,127.28,8777,17413,43.29,227,0.56,37,Community transmission
Sweden,Europe,1092083,10574.42,2100,20.33,362,14639,141.75,2,0.02,0,Community transmission
Belgium,Europe,1091095,9469.31,3763,32.66,1,25196,218.67,17,0.15,0,Community transmission
Romania,Europe,1081120,5593.3,297,1.54,30,34168,176.77,16,0.08,3,Community transmission
Bangladesh,South-East Asia,989219,600.66,67660,41.08,11651,15792,9.59,1146,0.7,199,Community transmission
Pakistan,Eastern Mediterranean,966007,437.32,8636,3.91,1517,22469,10.17,188,0.09,17,Community transmission
Portugal,Europe,896026,8702.74,16469,159.96,3285,17126,166.34,30,0.29,8,Clusters of cases
Israel,Europe,844684,9758.88,2520,29.11,111,6429,74.28,0,0,0,Community transmission
Japan,Western Pacific,811712,641.79,11734,9.28,2159,14897,11.78,116,0.09,13,Clusters of cases
Hungary,Europe,808393,8274.64,233,2.38,55,30004,307.12,12,0.12,5,Community transmission
Malaysia,Western Pacific,799790,2471.08,47811,147.72,7097,5768,17.82,598,1.85,91,Community transmission
Jordan,Eastern Mediterranean,754927,7398.97,3523,34.53,646,9800,96.05,50,0.49,5,Community transmission
Serbia,Europe,717196,10354.07,634,9.15,103,7063,101.97,16,0.23,2,Community transmission
Switzerland,Europe,701207,8102.11,1101,12.72,1,10308,119.1,1,0.01,0,Community transmission
Nepal,South-East Asia,651380,2235.59,10718,36.79,1218,9320,31.99,175,0.6,29,Community transmission
Austria,Europe,646994,7268.73,705,7.92,130,10510,118.08,21,0.24,3,Community transmission
United Arab Emirates,Eastern Mediterranean,644114,6512.52,11207,113.31,1513,1847,18.67,36,0.36,4,Community transmission
Lebanon,Eastern Mediterranean,546366,8004.84,1500,21.98,401,7867,115.26,16,0.23,2,Community transmission
Morocco,Eastern Mediterranean,537253,1455.55,5892,15.96,1279,9341,25.31,45,0.12,5,Community transmission
Kazakhstan,Europe,497017,2646.99,11665,62.12,0,7934,42.25,175,0.93,0,Clusters of cases
Saudi Arabia,Eastern Mediterranean,496516,1426.2,8924,25.63,1207,7921,22.75,102,0.29,14,Community transmission
Ecuador,Americas,465029,2635.76,6525,36.98,1078,21728,123.15,168,0.95,20,Community transmission
Tunisia,Eastern Mediterranean,464914,3933.74,44811,379.16,9823,15735,133.14,776,6.57,134,Community transmission
Bolivia (Plurinational State of),Americas,448213,3839.73,10590,90.72,1851,17013,145.75,311,2.66,28,Community transmission
Paraguay,Americas,431367,6047.88,9778,137.09,1483,13553,190.02,790,11.08,106,Community transmission
Greece,Europe,430960,4020.69,8504,79.34,1816,12763,119.07,57,0.53,9,Community transmission
Belarus,Europe,423519,4482,6330,66.99,998,3214,34.01,71,0.75,10,Community transmission
Bulgaria,Europe,422298,6074.93,469,6.75,60,18129,260.79,68,0.98,2,Clusters of cases
Panama,Americas,410004,9502.34,7423,172.04,1276,6591,152.75,55,1.27,8,Community transmission
Slovakia,Europe,391780,7178.25,121,2.22,45,12516,229.32,5,0.09,2,Clusters of cases
Costa Rica,Americas,375812,7377.37,9651,189.45,1488,4740,93.05,79,1.55,14,Community transmission
Uruguay,Americas,374019,10767.07,5841,168.15,733,5735,165.1,177,5.1,24,Community transmission
Georgia,Europe,373728,9368.55,6670,167.2,1043,5414,135.72,87,2.18,20,Community transmission
Kuwait,Eastern Mediterranean,369227,8645.85,12540,293.64,1585,2059,48.21,90,2.11,10,Community transmission
Croatia,Europe,360593,8885.62,618,15.23,110,8226,202.7,17,0.42,2,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,343710,6737.54,702,13.76,89,3845,75.37,14,0.27,1,Community transmission
Azerbaijan,Europe,336684,3320.63,637,6.28,127,4979,49.11,5,0.05,1,Clusters of cases
Dominican Republic,Americas,330941,3050.74,5720,52.73,697,3870,35.68,48,0.44,4,Community transmission
Guatemala,Americas,308273,1720.7,14690,82,2954,9573,53.43,358,2,25,Community transmission
Thailand,South-East Asia,308230,441.59,43396,62.17,7058,2462,3.53,382,0.55,75,Clusters of cases
Denmark,Europe,296885,5098.7,3208,55.09,689,2538,43.59,4,0.07,0,Community transmission
Egypt,Eastern Mediterranean,282582,276.14,1300,1.27,161,16332,15.96,163,0.16,26,Clusters of cases
Oman,Eastern Mediterranean,280235,5487.67,11690,228.92,1675,3356,65.72,256,5.01,17,Community transmission
Venezuela (Bolivarian Republic of),Americas,279813,984.01,8134,28.6,1148,3222,11.33,121,0.43,13,Community transmission
Lithuania,Europe,279024,9986.22,215,7.69,40,4396,157.33,12,0.43,1,Community transmission
Ethiopia,Africa,276683,240.67,646,0.56,85,4338,3.77,18,0.02,3,Community transmission
Ireland,Europe,275571,5550.9,3313,66.73,581,5006,100.84,8,0.16,6,Community transmission
Honduras,Americas,270020,2726.21,7951,80.28,1020,7149,72.18,169,1.71,20,Community transmission
Sri Lanka,South-East Asia,268676,1254.72,7704,35.98,0,3294,15.38,231,1.08,0,Clusters of cases
Bahrain,Eastern Mediterranean,266797,15679.41,970,57.01,112,1367,80.34,15,0.88,1,Community transmission
Slovenia,Europe,257550,12288.51,215,10.26,73,4753,226.78,0,0,0,Clusters of cases
Republic of Moldova,Europe,257187,6375.54,453,11.23,82,6203,153.77,9,0.22,3,Community transmission
Armenia,Europe,225987,7626.36,766,25.85,186,4536,153.08,19,0.64,5,Community transmission
Qatar,Eastern Mediterranean,222918,7737.38,847,29.4,158,596,20.69,6,0.21,2,Community transmission
Cuba,Americas,214577,1894.45,23584,208.22,3664,1405,12.4,121,1.07,18,Community transmission
Bosnia and Herzegovina,Europe,205113,6251.89,91,2.77,20,9654,294.26,7,0.21,1,Community transmission
Libya,Eastern Mediterranean,198142,2883.62,4668,67.93,1248,3223,46.91,30,0.44,8,Community transmission
Kenya,Africa,186959,347.69,2798,5.2,506,3705,6.89,71,0.13,8,Community transmission
Myanmar,South-East Asia,180055,330.92,20708,38.06,4132,3621,6.66,274,0.5,51,Clusters of cases
Zambia,Africa,169003,919.3,14055,76.45,1871,2618,14.24,419,2.28,59,Community transmission
Nigeria,Africa,168110,81.55,492,0.24,110,2122,1.03,2,0,1,Community transmission
Republic of Korea,Western Pacific,164028,319.93,6306,12.3,1275,2034,3.97,13,0.03,1,Clusters of cases
North Macedonia,Europe,155741,7475.4,57,2.74,9,5486,263.32,2,0.1,0,Sporadic cases
Algeria,Africa,143032,326.18,3406,7.77,585,3786,8.63,70,0.16,11,Community transmission
Puerto Rico,Americas,140412,4908.05,386,13.49,6,2552,89.2,3,0.1,0,Community transmission
Latvia,Europe,137747,7220.67,318,16.67,48,2534,132.83,21,1.1,3,Community transmission
Kyrgyzstan,Europe,135739,2080.55,9344,143.22,1238,2073,31.77,64,0.98,10,Clusters of cases
Albania,Europe,132557,4606.19,36,1.25,13,2456,85.34,0,0,0,Clusters of cases
Norway,Europe,132361,2465.93,1046,19.49,0,796,14.83,2,0.04,0,Clusters of cases
Estonia,Europe,131357,9884.08,272,20.47,58,1270,95.56,1,0.08,0,Clusters of cases
Mongolia,Western Pacific,130452,3979.27,14974,456.76,1998,646,19.71,83,2.53,7,Clusters of cases
Afghanistan,Eastern Mediterranean,130113,334.24,9897,25.42,1092,5477,14.07,515,1.32,62,Community transmission
China,Western Pacific,119094,8.09,522,0.04,58,5563,0.38,68,0,9,Clusters of cases
Uzbekistan,Europe,114529,342.19,3376,10.09,490,760,2.27,20,0.06,2,Clusters of cases
Kosovo[1],Europe,107776,6002.01,61,3.4,9,2252,125.41,4,0.22,1,Community transmission
Montenegro,Europe,100381,15982.66,98,15.6,0,1619,257.78,6,0.96,0,Clusters of cases
Namibia,Africa,99808,3928.05,9891,389.27,0,1742,68.56,221,8.7,0,Community transmission
Finland,Europe,97349,1761.88,1385,25.07,300,976,17.66,3,0.05,3,Clusters of cases
Ghana,Africa,96708,311.23,794,2.56,306,797,2.56,1,0,1,Community transmission
Uganda,Africa,84979,185.78,5002,10.94,425,2012,4.4,989,2.16,819,Community transmission
Mozambique,Africa,83485,267.11,7081,22.66,1139,934,2.99,56,0.18,11,Community transmission
Cameroon,Africa,80858,304.6,0,0,0,1324,4.99,0,0,0,Community transmission
Cyprus,Europe,80588,9075.17,4728,532.43,952,380,42.79,6,0.68,0,Clusters of cases
El Salvador,Americas,80235,1237.01,1469,22.65,0,2420,37.31,39,0.6,6,Community transmission
Maldives,South-East Asia,74724,13823.85,793,146.7,0,213,39.4,0,0,0,Clusters of cases
Botswana,Africa,73977,3145.78,3906,166.1,0,1188,50.52,63,2.68,0,Community transmission
Luxembourg,Europe,71748,11459.36,853,136.24,201,819,130.81,1,0.16,1,Community transmission
Singapore,Western Pacific,62652,1070.91,73,1.25,12,36,0.62,0,0,0,Sporadic cases
Zimbabwe,Africa,60227,405.22,10363,69.72,4213,1973,13.27,184,1.24,34,Community transmission
Cambodia,Western Pacific,57103,341.55,6718,40.18,981,798,4.77,196,1.17,19,Sporadic cases
Jamaica,Americas,50456,1703.92,332,11.21,52,1101,37.18,26,0.88,5,Community transmission
Côte d’Ivoire,Africa,48693,184.6,388,1.47,59,316,1.2,3,0.01,1,Community transmission
Rwanda,Africa,45039,347.73,7655,59.1,760,507,3.91,80,0.62,16,Community transmission
Senegal,Africa,44436,265.39,1308,7.81,356,1183,7.07,17,0.1,5,Community transmission
Democratic Republic of the Congo,Africa,43019,48.03,2183,2.44,139,969,1.08,45,0.05,0,Community transmission
Madagascar,Africa,42413,153.17,219,0.79,21,929,3.35,20,0.07,2,Community transmission
Angola,Africa,39491,120.16,642,1.95,116,925,2.81,25,0.08,5,Community transmission
Malawi,Africa,37556,196.32,1430,7.48,190,1218,6.37,22,0.12,0,Community transmission
Sudan,Eastern Mediterranean,36805,83.94,96,0.22,0,2760,6.29,0,0,0,Clusters of cases
Trinidad and Tobago,Americas,33805,2415.53,1277,91.25,250,903,64.52,70,5,4,Community transmission
Cabo Verde,Africa,32827,5904.27,303,54.5,39,289,51.98,3,0.54,0,Community transmission
